Observation_Day,C_obs,C_pred,C_resid,D_obs,D_pred,D_resid
421.0,0.09866094559186411,0.0986749707374131,1.402514554899037e-5,0.0016013595522779405,0.0016116959094191836,1.0336357141243124e-5
422.0,0.09869184358328885,0.09870373545268335,1.189186939450082e-5,0.0016016644666670004,0.0016119124880567036,1.0248021389703188e-5
423.0,0.09872055635492533,0.09873391504577075,1.3358690845427512e-5,0.0016018169238615303,0.0016121210443008325,1.0304120439302237e-5
424.0,0.09872055635492533,0.09876566734031199,4.511098538666214e-5,0.0016024267526396501,0.0016123226410524635,9.895888412813367e-6
425.0,0.09872055635492533,0.09879915922569052,7.860287076519312e-5,0.0016043070580388531,0.001612518275288798,8.211217249944752e-6
426.0,0.09872055635492533,0.09883456930395652,0.00011401294903119752,0.0016053234393357196,0.0016127089210925454,7.385481756825782e-6
427.0,0.09873046607256977,0.09887208922419355,0.00014162315162377648,0.0016055521251275146,0.0016128955362769695,7.34341114945491e-6
428.0,0.0987477445546165,0.09891192368251848,0.00016417912790198108,0.0016055521251275146,0.001613079062385887,7.526937258372363e-6
429.0,0.09876187225464295,0.09895429042208156,0.00019241816743861828,0.0016055521251275146,0.0016132604246936672,7.708299566152634e-6
430.0,0.09886150303126828,0.09899942023306639,0.0001379172017981073,0.0016072037447349226,0.001613440532205234,6.236787470311356e-6
431.0,0.09891034015258272,0.0990475569526899,0.00013721680010717052,0.001608220126031789,0.0016136202776560636,5.400151624274574e-6
432.0,0.09895663632065499,0.0990989574652024,0.0001423211445474165,0.001609566831250137,0.001613800537512186,4.233706262049032e-6
433.0,0.09902026178983882,0.09915389071407947,0.00013362892424065298,0.0016110405841305935,0.0016139821861807404,2.9416020501469436e-6
434.0,0.09905390401076511,0.09921263841573631,0.00015873440497120306,0.00161144713664934,0.0016141661303094477,2.7189936601076155e-6
435.0,0.09908655525992693,0.09927549816939558,0.00018894290946865067,0.0016114725461817616,0.0016143532593249853,2.880713143223754e-6
436.0,0.0992473213715588,0.09934277610106845,9.545472950965583e-5,0.0016133528515809646,0.0016145444925731625,1.191640992197901e-6
437.0,0.0993366104684885,0.09941478640994902,7.817594146052043e-5,0.0016140134994239279,0.0016147407835480898,7.272841241619775e-7
438.0,0.09945834753832068,0.09949185136841442,3.350383009373403e-5,0.001614521690072361,0.0016149431198921801,4.214298198190747e-7
439.0,0.0995543193422773,0.09957430132202474,1.9981979747438205e-5,0.0016151823379153241,0.001615152523396148,-2.981451917619636e-8
440.0,0.0996361888557399,0.09966247468952309,2.6285833783196155e-5,0.0016169610051848405,0.00161537004999901,-1.5909551858304862e-6
441.0,0.09973002625897309,0.09975671796206179,2.669170308869373e-5,0.0016170626433145271,0.0016155967897900924,-1.4658535244346967e-6
442.0,0.09978079450475157,0.09985737673536971,7.658223061814129e-5,0.0016170626433145271,0.001615833893505063,-1.2287498094641202e-6
443.0,0.10003364476187952,0.09996479827447029,-6.884648740923538e-5,0.0016179265674168637,0.001616082574280334,-1.843993136529682e-6
444.0,0.10017690370567285,0.10007933072927669,-9.757297639616247e-5,0.0016184855771301401,0.001616344098285568,-2.1414788445720586e-6
445.0,0.100367576836965,0.10020131369335417,-0.0001662631436108314,0.0016186126247922485,0.0016166198058434355,-1.9928189488129834e-6
446.0,0.10052529380470625,0.10033107820392015,-0.000194215600786099,0.0016193749107648984,0.0016169111114296148,-2.4637993352835848e-6
