Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
21.0,3.1650099393415736e-6,0.08763076337619585,0.16312692536422127,0.045434858738159854,0.002595443520045526,0.0025396050864423003
22.0,3.2602677121577088e-6,0.08833502724520562,0.16314846976410985,0.045670897785724224,0.002571645163606944,0.00253602190640371
23.0,3.3624079214404144e-6,0.08904459005032853,0.1631731740742568,0.045908395548295775,0.0025475820569119704,0.0025324183351908094
24.0,3.4718841529063937e-6,0.08975944712279418,0.16320116076542293,0.046147525545460026,0.0025232610183085376,0.002528799273333036
25.0,3.5891974443689476e-6,0.09047963701855785,0.16323253883079755,0.04638845466474157,0.002498688041242335,0.002525168817038079
26.0,3.714900896901031e-6,0.09120524219969589,0.16326740361057185,0.046631342442505774,0.0024738683673848276,0.002521530261912583
27.0,3.84960487848476e-6,0.09193638959767646,0.16330583662325002,0.04687634031292329,0.00244880656147365,0.0025178861073319727
28.0,3.9939828925223826e-6,0.09267325104486095,0.16334790540400887,0.04712359082125167,0.002423506587859295,0.002514238061481021
29.0,4.148778194192296e-6,0.0934160435589865,0.16339366335066352,0.04737322679763181,0.002397971888773079,0.002510587047110509
30.0,4.314811249697938e-6,0.09416502946349031,0.1634431495780874,0.047625370487607344,0.002372205464349159,0.0025069332080815245
31.0,4.492988147196085e-6,0.09492051632434836,0.1634963887822767,0.047880132635671764,0.0023462099544476903,0.002503275916797376
32.0,4.684310083851671e-6,0.09568285668158924,0.1635533911156426,0.048137611518347244,0.00231998772233629,0.002499613782654265
33.0,4.8898840713282065e-6,0.09645244755080376,0.16361415207556648,0.04839789192362374,0.002293540940292109,0.002495944661675637
34.0,5.1109350223992785e-6,0.09722972966678414,0.1636786524087698,0.04866104407405781,0.002266871677186294,0.0024922656675317296
35.0,5.348819404611551e-6,0.09801518643789751,0.16374685803462882,0.04892712249147526,0.002239981988105531,0.00248857318418512
36.0,5.605040673436752e-6,0.09880934257593135,0.16381871999121456,0.04919616480206453,0.002212874006050574,0.002484862880445052
37.0,5.881266727557748e-6,0.09961276236195832,0.16389417440855458,0.0494681904817195,0.0021855500357285183,0.002481129726757603
38.0,6.179349663326246e-6,0.10042604750428884,0.16397314251440154,0.04974319954282084,0.002158012649422465,0.002477368014605148
39.0,6.5013481445372045e-6,0.10124983453986383,0.1640555306786412,0.050021171165262925,0.0021302647848786193,0.0024735713789362985
40.0,6.8495527480625785e-6,0.10208479172555339,0.16414123050338497,0.05030206227647003,0.0021023098450951346,0.0024697328240959695
41.0,7.22651469619063e-6,0.10293161536087675,0.16423011896674575,0.05058580608742794,0.0020741517998285174,0.0024658447537731533
