Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
91.0,1.4598152635402914e-7,0.11006263205487103,1.0845605898698546e-7,0.02327149842455924,7.936992241178154e-5,1.0029643080490228e-7
92.0,1.593825504347074e-7,0.11001149187391247,1.1132170473991718e-7,0.02434282832789946,8.467929268876718e-5,1.0040461077506321e-7
93.0,1.7669970936182155e-7,0.10989398361832156,1.1517213946113881e-7,0.025461658833636276,9.038615313236868e-5,1.0055332383637159e-7
94.0,1.990397862494722e-7,0.10971187684844053,1.2034087377233123e-7,0.026627772373341404,9.651263875639055e-5,1.0075776544171515e-7
95.0,2.278002637666362e-7,0.10946700091658222,1.2726974780082916e-7,0.027840669970780205,0.00010308114121224269,1.0103870995745359e-7
96.0,2.647360008966299e-7,0.10916120617416952,1.3654157138088288e-7,0.029099547494645574,0.00011011417314249356,1.0142447268671997e-7
97.0,3.1203749961768217e-7,0.10879633142657487,1.489214261338516e-7,0.030403273602088252,0.0001176342183411196,1.0195351525144824e-7
98.0,3.724214642482609e-7,0.10837417887703862,1.654084445804534e-7,0.03175037011444935,0.00012566356771790782,1.026778834069931e-7
99.0,4.4923391173231113e-7,0.10789649745724121,1.873000768880117e-7,0.033138995637528375,0.00013422414104306024,1.0366771260577726e-7
100.0,5.46565459455783e-7,0.10736497506072881,2.1627100058538094e-7,0.03456693329063513,0.00014333729440204015,1.0501709045362482e-7
101.0,6.693775806339444e-7,0.10678123979219765,2.544688888758986e-7,0.03603158343321694,0.00015302361323579468,1.0685162635978574e-7
102.0,8.23637572473569e-7,0.10614686993717252,3.046291883525148e-7,0.03752996226644459,0.0001633026908004509,1.0933814613677219e-7
103.0,1.0164587461128989e-6,0.1054634119597159,3.7021082053397083e-7,0.03905870713176118,0.00017419289188243462,1.1269700093056122e-7
104.0,1.2562409627316807e-6,0.10473240546705273,4.5555426397867397e-7,0.040614089222541,0.0001857111016834579,1.1721755205700844e-7
105.0,1.5528051804271082e-6,0.10395541375527945,5.660627456815602e-7,0.04219203426464877,0.00019787245998076694,1.232774606038997e-7
106.0,1.9175142464642593e-6,0.10313405828421508,7.08406228913857e-7,0.043788151506295274,0.00021069008100596377,1.3136646524071076e-7
107.0,2.3633709036225473e-6,0.10227005523462723,8.90746499340998e-7,0.045397771090883124,0.00022417475999986862,1.4211536308671507e-7
108.0,2.9050830337297232e-6,0.10136525218772216,1.1229799125615096e-6,0.04701598957701091,0.00023833466811084165,1.5633090331444978e-7
109.0,3.5590857013228073e-6,0.10042166294190054,1.4169922935686044e-6,0.04863772303074985,0.00025317503821542395,1.7503724505337017e-7
110.0,4.3435097422456675e-6,0.09944149854859545,1.7869181282892142e-6,0.05025776676437477,0.0002686978453408749,1.9952450116881822e-7
111.0,5.2780875925526935e-6,0.09842719280643968,2.249393658512284e-6,0.051870860453901886,0.0002849014866265878,2.3140466700923963e-7
112.0,6.383988846959319e-6,0.09738142069535506,2.8237909294839404e-6,0.05347175705787772,0.0003017804671205603,2.72674897561752e-7
113.0,7.683580676063881e-6,0.09630710854898832,3.532417434396906e-6,0.055055293704645764,0.0003193250990917768,3.257876293449975e-7
114.0,9.200111634902972e-6,0.09520743514030132,4.400663980262262e-6,0.05661646253543104,0.00033752122385398035,3.9372643225749404e-7
115.0,1.0957321389473723e-5,0.09408582327224287,5.457082018804913e-6,0.058150479402509773,0.000356349966231134,4.800857188814358e-7
116.0,1.297898321757293e-5,0.09294592190147549,6.733371203802869e-6,0.05965284833603998,0.0003757875326329189,5.891515464963844e-7
117.0,1.52883904878392e-5,0.09179157925466785,8.26425859412318e-6,0.061119419813233905,0.00039580506413481085,7.2597975187165e-7
118.0,1.7907802336162546e-5,0.09062680780027571,1.0087252914689595e-5,0.06254644108512522,0.0004163685558687348,8.964666159836308e-7
119.0,2.085786709707217e-5,0.08945574229196267,1.2242260735629367e-5,0.06393059712735556,0.0004374388533475113,1.1074062463617891e-6
120.0,2.415704440993602e-5,0.08828259238390566,1.4771056351170324e-5,0.06526904116366482,0.0004589717350233745,1.3665279955663546e-6
121.0,2.7821048087466053e-5,0.08711159151886905,1.7716603431086452e-5,0.06655941414056635,0.0004809180884144614,1.6825066332240286e-6
122.0,3.186233169608005e-5,0.08594694389839842,2.1122233943187734e-5,0.0677998529824373,0.0005032241845682369,2.064937795892591e-6
123.0,3.628963736315217e-5,0.0847927713583948,2.503069804043362e-5,0.06898898790062458,0.0005258320525623274,2.5242715913264064e-6
124.0,4.110762572129379e-5,0.08365306189653,2.9483107092515593e-5,0.07012592944232432,0.0005486799523131147,3.0716982482399464e-6
125.0,4.6316601350405596e-5,0.08253162144018099,3.451780025859304e-5,0.07121024632259354,0.000571702940351715,3.7189814543096885e-6
126.0,5.191234388053798e-5,0.0814320302192417,4.0169172345081357e-5,0.07224193536863092,0.0005948335196429885,4.4782375260021054e-6
127.0,5.788605040316328e-5,0.08035760483517716,4.6466506581404e-5,0.07322138510818645,0.0006180023611834596,5.361661735936054e-6
128.0,6.422439033300645e-5,0.07931136681567036,5.343285985484659e-5,0.07414933464885,0.0006411390822280332,6.3812068293222716e-6
129.0,7.090966965898086e-5,0.07829601813290038,6.108404946799646e-5,0.07502682952344568,0.0006641730637463381,7.548222744732392e-6
130.0,7.79200978522141e-5,0.07731392386126698,6.942778937373654e-5,0.0758551761257351,0.0006870342882381011,8.87307049635366e-6
131.0,8.523014771801758e-5,0.07636710187295433,7.846302004705394e-5,0.07663589624137487,0.0007096541784292239,1.0364726709093595e-5
132.0,9.281099626517088e-5,0.07545721922932805,8.817946981319578e-5,0.07737068300587091,0.0007319664176504818,1.2030398050861327e-5
133.0,0.00010063103322654245,0.07458559473108387,9.855747690231763e-5,0.07806135940999658,0.0007539077338308576,1.3875166441682734e-5
134.0,0.00010865642314784695,0.07375320694457621,0.000109568091240637,0.0787098402398982,0.0007754186309219799,1.5901686182557165e-5
135.0,0.00011685170687323064,0.07296070692646936,0.0001211734636388019,0.0793180980990614,0.0007964440540664871,1.810995290327584e-5
136.0,0.00012518042868133944,0.07220843482119012,0.00013332751829165098,0.07988813392575324,0.0008169339777563274,2.0497161486731285e-5
137.0,0.0001336057761412854,0.07149643950065775,0.00014597689306516904,0.08042195220329583,0.0008368439094051566,2.3057666046542578e-5
138.0,0.00014209122084886486,0.07082450044677316,0.0001590621215796856,0.08092154086957393,0.0008561353039903825,2.578304991094646e-5
139.0,0.00015060114946983372,0.07019215113660553,0.0001725190221765598,0.0813888557716745,0.0008747758885276404,2.866230780056644e-5
140.0,0.00015910147587976865,0.06959870327033482,0.00018628025192493072,0.08182580938396312,0.0008927398979728241,3.168213644421735e-5
141.0,0.00016756022659163668,0.06904327127525423,0.00020027697918190403,0.0822342634133436,0.0009100082265881875,3.482732422959251e-5
142.0,0.0001759480930652439,0.06852479661869315,0.00021444062600202966,0.08261602485214373,0.0009265685007821174,3.808122556974098e-5
143.0,0.0001842389458767651,0.06804207156265861,0.00022870463188648385,0.08297284500384573,0.0009424150808989626,4.142630183557797e-5
144.0,0.00019241030708374147,0.06759376208846583,0.00024300619282078612,0.08330642099563658,0.0009575490003937042,4.484470820222311e-5
145.0,0.00020044377845242326,0.06717842980687469,0.00025728793401588246,0.08361839929992376,0.000971977851305281,4.8318904700460354e-5
146.0,0.00020832542452634494,0.06679455274551804,0.0002714994809073505,0.08391038080990534,0.0009857156249946286,5.1832270147728e-5
147.0,0.00021604611081660127,0.06644054496893954,0.0002855989004031696,0.084183927047561,0.0009987825168079748,5.5369699339946716e-5
148.0,0.00022360179869517017,0.066114775036389,0.0002995539927099126,0.08444056712207429,0.0010112047027403365,5.891816671505044e-5
149.0,0.0002309937998823254,0.06581558333844033,0.00031334342293201997,0.084681805099314,0.001023014095388005,6.246724339447716e-5
150.0,0.00023822899474662909,0.06554129837588346,0.0003269576906861174,0.08490912748588589,0.0010342480855679436,6.600955878829764e-5
151.0,0.0002453200199894653,0.06529025205411838,0.0003403999449112637,0.08512401057241817,0.0010449492750136638,6.954120253457641e-5
152.0,0.00025228543267374084,0.06506079406481068,0.0003536866596585201,0.08532792741884612,0.001055165204587362,7.306206718211088e-5
153.0,0.0002591498589866125,0.0648513054156267,0.0003668481947498047,0.08552235429884941,0.0010649480815191608,7.657613650978849e-5
154.0,0.00026594413760845827,0.06466021115055778,0.0003799292727182675,0.08570877645118799,0.0010743545083245693,8.009172855182805e-5
155.0,0.00027270546910610686,0.06448599228010285,0.0003929894103618417,0.08588869301290267,0.0010834452152746904,8.362170617162773e-5
156.0,0.0002794775843919668,0.06432719691507621,0.00040610334960787634,0.08606362103405743,0.0010922847976010796,8.718367136228613e-5
157.0,0.0002863109470105934,0.06418245057293748,0.0004193615383139914,0.08623509849710642,0.0011009414579971036,9.08001623685468e-5
158.0,0.00029326300585480106,0.06405046560428726,0.00043287071729457434,0.08640468628755718,0.0011094867544085962,9.449887529109536e-5
159.0,0.0003003985169067057,0.06393004967257108,0.00044675467549840455,0.08657396908805048,0.001117995352558301,9.831293415878666e-5
160.0,0.00030778995478739275,0.06382011321498968,0.0004611552411623005,0.08674455519708368,0.0011265447820844724,0.00010228123567874993
161.0,0.00031551803733736425,0.063719675819806,0.00047623358327507966,0.08691807530822641,0.0011352151945527558,0.00010644889716283954
162.0,0.0003236723892101819,0.06362787147694399,0.0004921719052062053,0.08709618032762227,0.0011440891208782833,0.00011086783865951977
163.0,0.0003323523736351704,0.06354395269672083,0.0005091756213380114,0.0872805383585741,0.0011532512248271546,0.0001155975332736222
164.0,0.00034166812520776977,0.06346729354677194,0.000527476118495144,0.08747283104359098,0.001162788048209508,0.0001207059632025997
165.0,0.00035174182094362957,0.06339739172992438,0.000547334217445069,0.08767474952770765,0.001172787742089653,0.00012627082329893626
166.0,0.00036270923206592915,0.06333386991522007,0.0005690444663500752,0.0878879903930471,0.0011833397767864898,0.00013238101907368357
167.0,0.00037472160530920115,0.06327647663876164,0.0005929404184226547,0.08811425201387098,0.001194534621591517,0.00013913851198649502
168.0,0.0003879479301942406,0.06322508720777142,0.0006194010708351571,0.08835523189347258,0.0012064633829744493,0.00014666057148224603
169.0,0.0004025776581003924,0.06317970516637873,0.0006488586718254852,0.0886126256680888,0.0012192173875749666,0.00015508250017304
